Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Dummy
South Italian,Vulnerable,7500000,40.9798,15.249,1
Sicilian,Vulnerable,5000000,37.4399,14.5019,1
Low Saxon,Vulnerable,4800000,53.4029,10.3601,1
Belarusian,Vulnerable,4000000,53.956,27.5756,1
Lombard,Definitely endangered,3500000,45.7215,9.3273,1
Romani,Definitely endangered,3500000,46.3165,22.3681,1
Yiddish (Israel),Definitely endangered,3000000,32.0833,34.8333,1
Gondi,Vulnerable,2713790,19.5804,80.4418,1
Limburgian-Ripuarian,Vulnerable,2600000,50.7781,6.0864,1
Quechua of Southern Bolivia,Vulnerable,2300000,-18.0675,-65.7641,1
Kumaoni,Vulnerable,2003783,29.4778,79.8486,1
Aymara,Vulnerable,2000000,-16.5835,-68.302,1
Emilian-Romagnol,Definitely endangered,2000000,44.127,12.0739,1
Piedmontese,Definitely endangered,2000000,45.2013,7.8662,1
Venetan,Vulnerable,2000000,45.4601,12.1948,1
Zazaki,Vulnerable,2000000,38.8824,40.4846,1
Kurux (India),Vulnerable,1751489,22.1467,85.2758,1
Tamajeq,Vulnerable,1750000,17.2352,8.0859,1
Tulu,Vulnerable,1722768,12.0178,75.7067,1
Kangdi,Definitely endangered,1700000,32.4356,76.1242,1
Scots,Vulnerable,1500000,56.2189,-3.7683,1
Torlak,Vulnerable,1500000,42.9644,22.1374,1
West Flemish,Vulnerable,1500000,51.0275,3.0541,1
Bashkir,Vulnerable,1379727,54.7309,55.9863,1
Chechen,Vulnerable,1331844,43.1971,45.7031,1
Chuvash,Vulnerable,1325382,56.1394,47.2412,1
Meithei,Vulnerable,1250000,24.7667,93.8946,1
Tamang,Vulnerable,1196639,27.7365,85.6858,1
Quechua of Cuzco,Vulnerable,1115000,-13.4537,-72.0098,1
Eastern Slovak,Vulnerable,1000000,48.8068,21.7968,1
Ligurian,Definitely endangered,1000000,44.5748,8.7011,1
Rusyn,Vulnerable,1000000,48.4437,22.9394,1
Talysh,Vulnerable,1000000,38.814,48.6804,1
Kui,Vulnerable,916222,19.5908,83.9575,1
Khasi,Vulnerable,912000,25.691,91.8676,1
Bodo,Vulnerable,900000,26.7554,92.8674,1
Campidanese,Definitely endangered,900000,39.2991,8.9868,1
K'iche' (Guatemala),Vulnerable,890596,15.0309,-91.1485,1
Quechua of Ayacucho,Definitely endangered,850000,-13.1276,-74.2071,1
Newar,Definitely endangered,825458,27.6981,85.3198,1
Mon,Vulnerable,800000,16.4666,97.7833,1
Polesian,Vulnerable,800000,51.8629,23.9501,1
Tamaceq,Definitely endangered,800000,16.7992,-3.0102,1
Avar,Vulnerable,784840,42.4801,46.8017,1
Mundari,Vulnerable,750000,22.3297,86.0449,1
Welsh,Vulnerable,750000,52.4459,-3.5485,1
Angika,Vulnerable,740892,24.7451,85.3124,1
Q'eqchi' (Guatemala),Vulnerable,716101,15.4707,-90.3722,1
Picard,Severely endangered,700000,50.2331,2.7905,1
Kokborok,Vulnerable,695000,23.7752,91.6918,1
Basque,Vulnerable,660000,43.133,-2.0764,1
Kabard-Cherkes,Vulnerable,650000,43.7393,43.4289,1
Mandeali,Definitely endangered,611930,31.4099,76.9921,1
Friulian,Definitely endangered,600000,46.1037,13.1396,1
Quechua of Ancash and Huánuco,Definitely endangered,600000,-9.4598,-77.1789,1
Walloon,Definitely endangered,600000,50.4575,4.8559,1
Mising,Definitely endangered,550000,26.9612,94.0539,1
Ossete,Vulnerable,550000,42.9564,44.4946,1
Mizo,Vulnerable,529000,22.9988,92.9223,1
Dargwa,Vulnerable,503523,42.1145,47.4938,1
Aromanian,Definitely endangered,500000,40.2292,21.1376,1
Brahui,Vulnerable,500000,29.0369,66.5826,1
Languedocian,Severely endangered,500000,43.8899,2.5378,1
Lezgian,Vulnerable,500000,41.4921,48.0541,1
Mahasui,Definitely endangered,496024,31.2738,77.1295,1
Magar,Definitely endangered,489383,28.0816,83.4301,1
Mam (Guatemala),Vulnerable,477717,14.9305,-91.9078,1
Udmurt,Definitely endangered,463837,57.2315,52.8662,1
Huasteca Náhuatl,Vulnerable,463183,21.3835,-98.9902,1
Kumyk,Vulnerable,458121,43.397,46.9775,1
Yakut,Vulnerable,456288,62.3496,130.8691,1
Kaqchikel (Guatemala),Vulnerable,444954,14.7814,-90.7925,1
Karbi,Vulnerable,420000,26.2934,93.2299,1
